model,MAE,RMSE,R2,Tail_MAE_P75,Tail_MAE_P90,Tail_MAE_P95,Tail_MAE_P99,NonTail_MAE,ΔMAE,ΔTail_MAE_P90
M1  struct_only,6.10697603225708,10.614848136901855,0.26876366994820955,12.068941116333008,22.183181762695312,31.309846878051758,55.54140853881836,4.320045471191406,0.0,0.0
M2  struct+mean_note,6.125525951385498,10.703954696655273,0.2564353542608975,12.022527694702148,22.314434051513672,31.937236785888672,58.10582733154297,4.32606840133667,0.0186,0.1313
M3  struct+last_note,6.1758832931518555,10.73332405090332,0.2523494195474685,12.131462097167969,22.470699310302734,32.23448181152344,58.01496124267578,4.364653587341309,0.0689,0.2875
M4  struct+LSTM,6.071052074432373,10.73092269897461,0.2526838510093218,12.199202537536621,22.33710289001465,31.676136016845703,55.21476364135742,4.263020038604736,-0.0359,0.1539
M5  MoE_residual [OURS],5.9047845840454105,10.420872116088868,0.29524438130504727,11.836806678771973,21.51221046447754,30.284626007080078,52.83445053100586,4.169960689544678,-0.20220000000000002,-0.6709799999999999
