model,MAE,RMSE,R2,Tail_MAE_P90,Tail_MAE_P95,Tail_MAE_P99
ClinicalBERT only (section LSTM),6.69517092117715,11.277135332606045,0.17466970324013054,24.709593432527857,34.552719517076504,59.0604945397397
Early Fusion (struct + mean note),6.1255259802827,10.703954780029386,0.25643535007274754,22.31443390370671,31.937235860536394,58.10583255957676
Early Fusion (struct + last note),6.175883372686186,10.733323917487255,0.2523494188761999,22.470700351266444,32.23448502293959,58.01496369348031
Tabular + BERT no MoE (struct + LSTM),6.00501197434577,10.678304832724606,0.259994696657624,22.331557829715745,31.261355654511526,54.506023656489965
