model,MAE,RMSE,R2,Tail_MAE_P90,Tail_MAE_P95,Tail_MAE_P99
LightGBM,6.09404315564381,10.59065378445856,0.272093252793592,22.150885407762697,31.271374176030456,55.12474068108366
CatBoost,6.116526576278239,10.62297395602668,0.2676436749982706,22.319928155650658,31.692978203829142,56.31872535107949
XGBoost,6.12146520614624,10.651960372924805,0.26364150279728127,22.172361373901367,31.503616333007812,56.21384811401367
MLP,6.316044330596924,11.88787841796875,0.0828530498186173,23.08772087097168,33.20097351074219,62.00626754760742
Linear (Ridge),7.040566921234131,12.84406852722168,-0.07062026369000796,26.28449249267578,38.592857360839844,75.79815673828125
