model,MAE,RMSE,R2,Tail_MAE,NonTail_MAE,P90_AbsErr,ΔMAE,ΔTail_MAE
00  no_text_anywhere,5.902535438537598,10.821159362792969,0.24006269139403147,23.41120147705078,3.9563815593719482,13.401200294494629,0.0,0.0
01  gate_notext+experts_text,6.031604766845703,10.997793197631836,0.2150512453614707,22.668888092041016,4.182308197021484,13.738855838775635,0.1291,-0.7423
02  gate_text+expertB_notext,5.830885410308838,10.619403839111328,0.26813588661998766,22.592830657958984,3.9677329063415527,12.861881732940674,-0.0717,-0.8184
03  gate_text+expertA_notext,5.723367691040039,10.589828491210938,0.27220665746364625,23.46398162841797,3.751431941986084,12.331435203552246,-0.1792,0.0528
04  full_model [OURS],6.035682678222656,10.62205982208252,0.2677695993422722,21.01380157470703,4.3708086013793945,13.284886837005615,0.1331,-2.3974
