model,MAE,MAE_std,RMSE,RMSE_std,R2,R2_std,Tail_MAE,Tail_MAE_std,NonTail_MAE,NonTail_MAE_std,Delta_MAE,Delta_MAE_std
m1_structured_only,5.739675235748291,0.008556501786714054,10.480683708190918,0.011282754672273684,0.26087907287487794,0.001591780471280296,20.7658992767334,0.07540117215147757,4.008098983764649,0.004193831936329971,0.0,0.0
m2_struct+history,5.712192249298096,0.00239689987681748,10.484723091125488,0.011839712720370583,0.26030912849900223,0.001671131950635528,20.79644355773926,0.03301187993575293,3.9739291667938232,0.004139335150976775,-0.027479999999999997,0.010130824250770517
m3_struct+rad_frozen,5.7086021423339846,0.007756879709923021,10.479077911376953,0.006085075913429102,0.26110618338595615,0.0008580452299150318,20.66690559387207,0.0417740598337195,3.984852695465088,0.008867360675772368,-0.031079999999999997,0.008218856368132977
m4_struct+rad_retrained,5.723040390014648,0.005380924697535077,10.50976104736328,0.0153016261261927,0.2567714893720781,0.0021647643516638343,20.62726745605469,0.05668251352082751,4.005522727966309,0.010999278967792528,-0.01666,0.01104836639508303
m5_moe_residual [OURS],5.608016109466552,0.006517281860356849,10.35352668762207,0.008021682260436721,0.2787054983034595,0.0011179274875947783,20.265735244750978,0.06675143803806842,3.918905019760132,0.014549580826161047,-0.13166000000000003,0.01468912522922995
m6_moe_frozen_transfer,5.609732437133789,0.00968095948389709,10.361569595336913,0.01101052413608678,0.2775839921070551,0.0015342177463050764,20.31895866394043,0.04607523946722474,3.9146860599517823,0.015457181290928724,-0.12996,0.015737674542320407
