model,MAE,RMSE,R2,Tail_MAE_P90,Tail_MAE_P95,Tail_MAE_P99,NonTail_MAE,Delta_MAE,Delta_Tail_P90
00_struct_only (anchor),5.7351460456848145,10.478135108947754,0.26123925636620215,20.716903686523438,30.03877067565918,61.816993713378906,4.008693218231201,0.0,0.0
01_single_expert (all data),5.674802303314209,10.428784370422363,0.2681819680665761,20.198110580444336,29.45158576965332,61.209564208984375,4.001180171966553,-0.0603,-0.5188
02_moe_no_specialisation (soft gate),5.674801826477051,10.428784370422363,0.2681819646783207,20.198108673095703,29.45158576965332,61.209556579589844,4.001180171966553,-0.0603,-0.5188
03_expert_A_only,5.251736640930176,10.80963134765625,0.21375573773619638,23.520183563232422,33.49655532836914,67.530517578125,3.1465353965759277,-0.4834,2.8033
04_expert_B_only,22.697235107421875,24.468303680419922,-3.0285015680945655,11.999128341674805,15.573060989379883,47.622188568115234,23.9300537109375,16.9621,-8.7178
05_moe_residual [OURS],5.595768928527832,10.337549209594727,0.2809303682959289,20.246294021606445,29.348403930664062,60.2630729675293,3.907486915588379,-0.1394,-0.4706
06_oracle_gate [UB],4.061269760131836,7.84189510345459,0.5862120720375205,11.999128341674805,15.573060989379883,47.622188568115234,3.1465353965759277,-1.6739,-8.7178
